id_distribucion;Id_oc;EMPRESA;CORREO;Fecha recepción correo;PROVEEDOR;Encargado Directo;CC;Categoria;Año;Mes;Cantidad;BASE;Base Total;Observacion;ESTADO;SOUL;FECHA DE CREACIÓN;Archivo;ITEM;EMPRESA_CC;Ciudad;Gerente cuentas;Gerente Operación;Jefe de operación;Cordinador;Site;id_campaña;cc_cont
1;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;DIEGO_MORALES;MOVISTAR - CARTERA COLOMBIA;"INSTANCIA PRIVADA SOFTWARE-Valor
Mensual Serv AWS";2023;3;0,397;1420305,42;563861,2517;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;AWS;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Diego Morales;Ana Pantoja-Diana Galindez - Maria Parra- Oscar Hernandez;5;286;21908
2;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;DIEGO_MORALES;MOVISTAR - CARTERA COLOMBIA;Licencias Godoworks;2023;3;0,397;378042,49;150082,8685;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Licencias;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Diego Morales;Ana Pantoja-Diana Galindez - Maria Parra- Oscar Hernandez;5;286;21908
3;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;JUAN_APONTE;BANCO CAJA SOCIAL - VISITAS;"INSTANCIA PRIVADA SOFTWARE-Valor
Mensual Serv AWS";2023;3;0,5045;1420305,42;716544,0844;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;AWS;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Juan Aponte;;1;93;20103
4;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;JUAN_APONTE;BANCO CAJA SOCIAL - VISITAS;Licencias Godoworks;2023;3;0,5045;378042,49;190722,4362;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Licencias;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Juan Aponte;;1;93;20103
5;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;JUAN_APONTE;BANCO POPULAR - TRADICIONAL;"INSTANCIA PRIVADA SOFTWARE-Valor
Mensual Serv AWS";2023;3;0,075;1420305,42;106522,9065;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;AWS;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Juan Aponte;;1;95;20702
6;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;JUAN_APONTE;BANCO POPULAR - TRADICIONAL;Licencias Godoworks;2023;3;0,075;378042,49;28353,18675;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Licencias;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Juan Aponte;;1;95;20702
7;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;JUAN_APONTE_2;CAMPAÑAS MASIVAS;"INSTANCIA PRIVADA SOFTWARE-Valor
Mensual Serv AWS";2023;3;0,0235;1420305,42;33377,17737;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;AWS;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Juan Aponte;Alexandra Ortiz;1;100;21001
8;1;CS;RV: SOLICITUD EMISION ORDEN DE COMPRA;2023-04-12 13:23:00;HERRAMIENTAS MOVIELES;JUAN_APONTE_2;CAMPAÑAS MASIVAS;Licencias Godoworks;2023;3;0,0235;378042,49;8883,998515;;;;12/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Licencias;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Juan Aponte;Alexandra Ortiz;1;100;21001
9;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;DIEGO_MORALES;MOVISTAR - FABRICA DE CRÉDITO;Whatsappweb;2023;3;1;9,75;9,75;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;BOGOTA;Felipe Santrich;Oscar Osorio;Diego Morales;Diana Duque;1;128;21905
10;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;CARTERA PROPIA BANCO SERFINANZA MEDELLÍN;Whatsappweb;2023;3;0,2;531,8;106,36;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;MEDELLÍN;Pedro Franco;;;Aurora Vega;Medellín;856;20823
11;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;CARTERA PROPIA - TUYA MEDELLÍN - JUDICIALIZADA 2022;Whatsappweb;2023;3;0,2;531,8;106,36;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;MEDELLÍN;Pedro Franco;;;Aurora Vega;Medellín;856;20823
12;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;CARTERA PROPIA - TUYA MEDELLÍN 2021;Whatsappweb;2023;3;0,2;531,8;106,36;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;MEDELLÍN;Pedro Franco;;;Aurora Vega;Medellín;856;20823
13;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;CARTERA PROPIA – TUYA MEDELLÍN 2022;Whatsappweb;2023;3;0,2;531,8;106,36;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;MEDELLÍN;Pedro Franco;;;Aurora Vega;Medellín;856;20823
14;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;CARTERA PROPIA – TUYA MEDELLÍN 2022 - #2;Whatsappweb;2023;3;0,2;531,8;106,36;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;BOGOTA;Pedro Franco;;;Aurora Vega;Medellín;856;20823
15;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;CLARO - MOVIL VENTAS MEDELLIN - CS;Whatsappweb;2023;3;1;143,1;143,1;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;MEDELLÍN;Pedro Franco;;Jaime Celis;Sandra zapata;Medellín;182;20206
16;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;CREDIORBE - COBRANZAS MEDELLIN;Whatsappweb;2023;3;1;73,1;73,1;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;MEDELLÍN;Pedro Franco;;;;Medellín;103;21201
17;2;CS;Envio Link Servicios Hibot Marzo - Montechelo;2023-03-27 16:26:00;HIBOT;Gerencia_Medellin;Doctor Peso- COBRANZA;Whatsappweb;2023;3;1;7,83;7,83;0;;LICENCIAS - HIBOT - MARZO;4/04/2023 0:00;BASE_MARZO - 2023 (version 1).xlsx;Chatbots;CS;MEDELLÍN;Pedro Franco;;;;Medellín;302;20824
